Lost_Core_Genera,Invader_Core_Genera
unclassified (derived from Rhodospirillaceae),Actinosynnema
Acidovorax,Terrabacter
unclassified (derived from Comamonadaceae),Rothia
Thalassospira,Actinomadura
Rubrobacter,Actinocorallia
Variovorax,unclassified (derived from Actinobacteria (class))
Prosthecobacter,Lechevalieria
Azospirillum,unclassified (derived from Thermomonosporaceae)
Gemmatimonas,Oceanobacillus
Chthoniobacter,Thermomonospora
Rhodovibrio,Geobacillus
Akkermansia,Actinoallomurus
,Ktedonobacter
,Kinetoplastibacterium
,Actinokineospora
,Nesterenkonia
,unclassified (derived from Burkholderiales)
,Kocuria
,Stenotrophomonas
,Xanthomonas
,Lentzea
,Micrococcus
,Candidatus Solibacter
,Tetrasphaera
,Intrasporangium
,Janibacter
,unclassified (derived from Betaproteobacteria)
,unclassified (derived from Sphingobacteriaceae)
,Sphingobacterium
,Bacillus
,Pedobacter
,Arthrobacter
,Rubrivivax
,Saccharothrix
,Dyella
