Function,Mean_Healthy,Mean_Degraded,Log2FC_Degraded_vs_Healthy,Log2FC_CI_low,Log2FC_CI_high,Cohens_d_Degraded_vs_Healthy,MWU_p,TotalMean,FDR
aerobic,0.058721995522674875,0.10412355437133969,0.8263235543832592,0.19024641758301175,1.302886316451922,1.4925652279493455,0.11428571428571428,0.16284554989401456,0.6777777777777778
aerobic_acetogenesis,0.004670952069605165,0.0036051615629987387,-0.37365263550243905,-1.5897523888971405,0.5565977021569389,-0.4965290299645054,0.6857142857142857,0.008276113632603905,0.9093167701863355
aerobic_anoxygenic_phototrophy,0.007378247445224614,0.010934995188214374,0.5676024431452611,0.05165380125270609,1.1894906183324387,1.3192130643069255,0.34285714285714286,0.01831324263343899,0.6971428571428572
aerobic_chemoheterotrophy,0.15212403183370987,0.17677387809697692,0.216657020696971,0.006291962729401167,0.42877933246650407,1.1381091433855217,0.2,0.3288979099306868,0.6777777777777778
aerobic_nitrite_oxidation,0.008186321939582424,0.008520719988936765,0.05775993032412546,-0.5354747639508121,0.8261701702379026,0.11066977575553792,1.0,0.01670704192851919,1.0
aliphatic_non_methane_hydrocarbon_degradation,0.05160570647780084,0.08524903738776904,0.7241529272038237,0.06255307023651464,1.262570638805882,1.2088570236880334,0.34285714285714286,0.1368547438655699,0.6971428571428572
aromatic_compound_degradation,0.06247318969658544,0.06887055679456787,0.14065014708836523,-0.3797477004389456,0.6039843225309381,0.32795273920403933,0.8857142857142857,0.13134374649115332,1.0
aromatic_hydrocarbon_degradation,0.039504927394115014,0.05627438233842638,0.5104456961787812,-0.033776579072930135,0.9788709245115554,1.0720670773042633,0.2,0.0957793097325414,0.6777777777777778
cellulolysis,0.07994564282754839,0.09508769328957833,0.2502392231714738,-0.10833159808876919,0.6384677692134746,0.7446866109542511,0.4857142857142857,0.17503333611712674,0.823015873015873
chitinolysis,0.08125277504911432,0.12537137148411734,0.6257189487542426,0.22446284399315702,0.9301262352586913,1.736863693304242,0.05714285714285714,0.20662414653323166,0.6777777777777778
dark_hydrogen_oxidation,0.01933666247866643,0.029197329108977717,0.5944975700473712,-0.45055231060508333,1.2975748125053173,0.7335048959421573,0.8857142857142857,0.04853399158764415,1.0
dark_iron_oxidation,0.004195089228758543,0.0056170186774233185,0.421103016199435,-0.5595643911355831,2.080103838517148,0.45332536930151607,0.34285714285714286,0.009812107906181863,0.6971428571428572
dark_oxidation_of_sulfur_compounds,0.00018670649738610905,0.000669158961354205,1.8415712641871154,-0.5281887873468256,20.01617206728726,0.9071488891960234,0.3561703279493218,0.0008558654587403141,0.7008512904809235
dark_sulfide_oxidation,0.006274724472661704,0.00920960013679803,0.5535863345976199,-0.5323684072644022,1.4947384121000638,0.650043530243279,0.6857142857142857,0.015484324609459733,0.9093167701863355
dark_sulfite_oxidation,0.0011566284084080002,0.0008429534419016524,-0.45640012273759584,-1.4500368148970162,0.6329035735579456,-0.5139063341961507,0.8857142857142857,0.001999581850309653,1.0
dark_sulfur_oxidation,0.00132728446318921,0.0023524441403810874,0.825682390584451,-0.17871143815412757,2.493345750177586,0.8871011908506339,0.34285714285714286,0.003679728603570297,0.6971428571428572
dark_thiosulfate_oxidation,0.015115186098963788,0.025379514903393876,0.7476657139787429,0.07290617113474432,1.2633861231902017,1.3374932051355817,0.2,0.040494701002357664,0.6777777777777778
