Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Cooking_With_Microwave,Cooking_With_Grill,Cooking_With_Oven,Cooking_With_Stove,Cooking_With_Airfryer,Recycling_Glass,Recycling_Plastic,Recycling_Paper,Recycling_Metal
2,0,0,0,1,1,0,1,230,1,210,1,4,7,26,1,2,0,0,1,1,0,0,0,0,1
1,0,3,2,3,0,0,1,114,2,9,2,3,9,38,5,2,1,0,0,1,0,0,0,0,1
2,1,2,3,2,2,3,0,138,3,2472,0,1,14,47,6,0,1,0,1,0,0,0,0,0,1
2,1,2,1,2,0,0,2,157,2,74,3,3,20,5,7,0,1,1,0,0,1,1,1,1,1
1,0,3,0,1,2,5,1,266,0,8457,1,1,3,5,6,1,0,0,1,0,0,0,0,1,0
2,1,3,2,2,1,0,2,144,1,658,1,1,22,18,9,0,1,0,1,1,0,1,0,1,1
0,0,1,2,2,2,4,0,56,2,5363,3,4,9,11,19,0,0,1,0,0,1,0,0,0,0
0,0,1,3,1,0,0,2,59,0,54,2,3,5,39,15,2,1,0,0,1,0,1,1,1,0
2,1,2,0,2,1,0,0,200,1,1376,3,3,3,31,15,1,1,1,0,0,1,1,0,0,0
0,0,0,0,2,1,0,1,135,2,440,2,1,8,23,18,0,1,1,0,0,1,1,0,0,0
3,0,3,3,2,1,0,0,146,3,1561,2,4,12,27,21,2,1,0,0,1,0,0,1,1,0
1,1,3,3,1,0,0,0,111,0,69,3,5,9,4,4,0,1,0,1,1,0,0,0,0,0
0,0,2,1,1,0,0,1,114,2,92,1,3,18,27,4,1,0,0,0,1,0,0,1,0,0
0,0,1,2,0,2,1,2,111,2,2893,1,6,13,16,10,0,1,1,1,1,1,1,1,0,1
1,1,0,2,3,1,0,1,123,2,1989,0,6,13,23,8,2,0,0,1,1,0,0,1,1,1
2,0,3,2,0,1,0,0,225,0,692,0,6,9,24,15,2,0,0,1,1,0,1,1,1,1
3,1,0,3,0,0,0,1,219,1,7,2,4,23,42,14,0,1,1,1,0,1,0,0,0,0
2,0,0,0,2,1,0,1,104,2,948,1,6,1,6,22,1,0,1,0,1,1,0,0,1,0
0,1,1,3,0,2,3,1,126,0,7622,3,2,6,37,9,0,0,0,0,1,0,0,0,0,0
3,0,2,3,2,0,0,1,288,3,51,0,4,15,22,6,2,0,0,1,1,0,1,0,1,1
3,1,1,1,0,2,2,1,282,2,2237,1,6,0,8,5,2,0,1,1,0,1,1,1,0,1
1,0,0,2,2,1,0,0,69,2,1804,1,1,6,3,7,2,1,0,1,1,0,0,0,0,1
2,1,2,1,2,0,0,2,110,3,85,0,3,14,4,3,0,1,1,1,1,1,1,1,1,1
1,1,3,0,1,2,5,1,165,1,472,0,4,17,24,20,1,1,0,0,0,0,1,0,1,0
2,1,1,0,1,2,5,2,62,0,5737,3,1,5,20,20,1,0,1,0,0,1,0,0,1,1
1,0,0,2,0,0,0,2,94,2,88,3,6,17,0,3,0,1,1,1,1,1,0,1,1,1
0,0,1,0,0,1,0,1,259,1,558,1,4,4,50,23,0,0,1,1,0,1,0,0,0,1
1,1,3,2,0,1,0,2,67,2,752,1,3,14,37,14,0,0,0,0,1,0,0,1,0,0
1,1,0,0,2,0,0,0,130,2,71,0,2,10,15,10,2,0,1,1,0,1,1,0,0,0
0,0,2,2,0,1,0,0,258,1,1028,0,2,13,44,4,1,1,1,1,0,1,1,0,0,1
1,0,1,3,2,1,0,2,189,1,1527,3,4,23,34,10,1,1,1,0,0,1,1,0,0,1
0,0,3,0,1,0,0,2,262,1,88,1,5,24,8,15,0,1,1,0,0,1,0,0,0,0
3,0,0,0,3,0,0,0,157,1,73,3,4,1,42,22,2,1,1,1,1,1,1,0,1,1
3,0,0,0,2,2,1,1,280,0,8320,0,5,9,0,4,0,0,1,1,1,1,0,0,1,1
